;Antibiotic;Total_Tested;Mean_Testing_Rate
1;AKN;627299;0.997130840051883
2;AMC;625059;0.993570220504082
3;AMP;501695;0.797475457158117
4;AMX;612390;0.973432055749129
5;AZT;64879;0.10312921234009
6;CAZ;600129;0.953942432411811
7;CFM;594626;0.945195071085226
8;CIP;221206;0.351620717719169
9;CN;34703;0.0551625804318523
10;CRO;629103;0.999998410437702
11;CS;8090;0.012859558991836
12;CTX;629103;0.999998410437702
13;CXM;58746;0.0933804267656858
14;ERT;628373;0.99883802996007
15;FEP;106907;0.169935336605712
16;FOS;615638;0.978594954093441
17;FOX;617188;0.981058775655535
18;FUR;610823;0.970941211627966
19;GEN;606868;0.964654492738879
20;IMP;111902;0.17787520028485
21;LEV;129831;0.206374462727943
22;MEC;597457;0.94969512195122
23;MEM;65344;0.103868358808718
24;NAL;294520;0.468157888043948
25;NOR;91581;0.145573704824639
26;OFL;519850;0.826333960680587
27;PIP;67284;0.106952109667082
28;TCC;32178;0.0511489356290852
29;TEM;318358;0.506049874106666
30;TGC;50696;0.0805844502657748
31;TIC;562926;0.894805946234645
32;TMP;88557;0.140766868435108
33;TOB;308227;0.489946018464356
34;TSU;627947;0.998160876421069
35;TZP;598930;0.952036547216359
